# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3801.576  2.932829342795767e-19  2.9063528196132194e-19
3801.58  2.8401269740881737e-19  2.814463407145003e-19
3801.584  2.7510089282125e-19  2.726169899259535e-19
3801.588  2.6653456961706896e-19  2.64133503040214e-19
3801.592  2.583008411749295e-19  2.5598236289312116e-19
3801.596  2.503869596590431e-19  2.4815031608739297e-19
3801.6  2.4278037623162297e-19  2.406244142703857e-19
3801.604  2.3546879168593234e-19  2.333920473819644e-19
3801.608  2.2844020019959395e-19  2.2644097183879853e-19
3801.612  2.2168292557897276e-19  2.1975933318249875e-19
3801.616  2.1518564632232742e-19  2.1333567955929751e-19
3801.62  2.0893740562411094e-19  2.0715896208599504e-19
3801.624  2.029276065104319e-19  2.0121852213924356e-19
3801.628  1.971459995685091e-19  1.9550407282015004e-19
3801.632  1.9158267658452774e-19  1.900056876687793e-19
3801.636  1.8622808282727463e-19  1.8471380912209617e-19
3801.64  1.8107305215027314e-19  1.7961928065899074e-19
3801.644  1.7610885584602952e-19  1.7471339336438932e-19
3801.648  1.7132724450106074e-19  1.6998792599253392e-19
3801.652  1.6672046458121452e-19  1.6543516012471888e-19
3801.656  1.622812355010281e-19  1.6104785607306313e-19
3801.66  1.5800269489302908e-19  1.5681919717146496e-19
3801.664  1.53878328225554e-19  1.5274271855022912e-19
3801.668  1.499019022627405e-19  1.4881223985301212e-19
3801.672  1.4606741572780696e-19  1.450218152350234e-19
3801.676  1.4236907101849885e-19  1.4136570447769034e-19
3801.68  1.3880126345772902e-19  1.3783836169506942e-19
3801.684  1.3535858174500293e-19  1.3443443529312052e-19
3801.688  1.3203581231940492e-19  1.3114877189006838e-19
3801.692  1.2882794506252817e-19  1.2797642162449662e-19
3801.696  1.2573017599669484e-19  1.249126405048405e-19
3801.7  1.2273790756810697e-19  1.2195289038820103e-19
3801.704  1.1984674615827667e-19  1.1909283622966495e-19
3801.708  1.1705249742781886e-19  1.1632834120375798e-19
3801.712  1.1435116009984862e-19  1.1365546030251814e-19
3801.716  1.1173891874073373e-19  1.1107043296492166e-19
3801.72  1.092121359722829e-19  1.0856967516866099e-19
3801.724  1.0676734444162814e-19  1.0614977130740109e-19
3801.728  1.0440123877759724e-19  1.038074660791929e-19
3801.732  1.021106676818926e-19  1.0153965653145519e-19
3801.736  9.989262625822539e-20  9.934338436277633e-20
3801.74  9.77442486340316e-20  9.721582853363353e-20
3801.744  9.566280090830808e-20  9.515429821708537e-20
3801.748  9.364567444065749e-20  9.315622610240699e-20
3801.752  9.169037947994912e-20  9.121916204810386e-20
3801.756  8.979453913140348e-20  8.934076708131889e-20
3801.76  8.795588364746763e-20  8.751880772755339e-20
3801.764  8.617224503134217e-20  8.575115065813421e-20
3801.768  8.444155193440395e-20  8.403575763558178e-20
3801.772  8.276182483566028e-20  8.237068074396771e-20
3801.776  8.113117148401889e-20  8.075405788421552e-20
3801.78  7.954778258878343e-20  7.918410851903315e-20
3801.784  7.800992774419635e-20  7.765912965268523e-20
3801.788  7.651595157108561e-20  7.617749202818766e-20
3801.792  7.506427006580535e-20  7.47376365316622e-20
3801.796  7.365336714120717e-20  7.333807078827654e-20
3801.8  7.228179134885938e-20  7.197736593871346e-20
3801.804  7.094815277233107e-20  7.065415358573355e-20
3801.808  6.965112007901768e-20  6.936913779218677e-20
3801.812  6.838941772410258e-20  6.811698472124579e-20
3801.816  6.716182329540101e-20  6.6898553939579e-20
3801.82  6.596716499155037e-20  6.57126914851698e-20
3801.824  6.4804319226368e-20  6.455829077429945e-20
3801.828  6.367220835000127e-20  6.343429036836816e-20
3801.832  6.256979848268984e-20  6.233967185106217e-20
3801.836  6.149609745264105e-20  6.127345780711516e-20
3801.84  6.045015283270502e-20  6.023470989700694e-20
3801.844  5.943105007085976e-20  5.922252702221077e-20
3801.848  5.843791070763508e-20  5.82360435736183e-20
3801.852  5.746989067829165e-20  5.727442776033806e-20
3801.856  5.652617869385055e-20  5.633357956793065e-20
3801.86  5.560599469896033e-20  5.541944764644008e-20
3801.864  5.470858840220754e-20  5.45278707355206e-20
3801.868  5.383323787908986e-20  5.365813721199397e-20
3801.872  5.2979248244925984e-20  5.2809561954023414e-20
3801.876  5.2145950397956805e-20  5.198148507164414e-20
3801.88  5.1332699833580075e-20  5.1173270701666785e-20
3801.884  5.0538875529465654e-20  5.038430586825246e-20
3801.888  4.976387890509421e-20  4.9613999415231095e-20
3801.892  4.900713285611544e-20  4.886178101434091e-20
3801.896  4.8268080865605826e-20  4.812710025656646e-20
3801.9  4.754618619345845e-20  4.7409425833887223e-20
3801.904  4.68409311421371e-20  4.670824481640477e-20
3801.908  4.615181639800979e-20  4.602306203056427e-20
3801.912  4.5478360442055216e-20  4.535339953739202e-20
3801.916  4.482009902260069e-20  4.469879620588344e-20
3801.92  4.417658467975584e-20  4.405880736967542e-20
3801.924  4.354738630710203e-20  4.3433004546205924e-20
3801.928  4.293208873686731e-20  4.282097519316726e-20
3801.932  4.2330292331325455e-20  4.2222322469436985e-20
3801.936  4.174161256516657e-20  4.163666496745731e-20
3801.94  4.116567958549342e-20  4.106363638656619e-20
3801.944  4.0602137738127775e-20  4.050288512241531e-20
3801.948  4.0050645055657424e-20  3.995407376070942e-20
3801.952  3.951087270522325e-20  3.941687847373635e-20
3801.956  3.8982504400810335e-20  3.889098833259661e-20
3801.96  3.846523578734964e-20  3.837610455660109e-20
3801.964  3.795877380933139e-20  3.7871939729988875e-20
3801.968  3.7462836076246656e-20  3.737821701596914e-20
3801.972  3.697715023870193e-20  3.6894669397167077e-20
3801.976  3.650145338794497e-20  3.6421038966059456e-20
3801.98  3.603549148835395e-20  3.595707628083033e-20
3801.984  3.557901885162353e-20  3.550253979638487e-20
3801.988  3.5131797656455496e-20  3.505719537155516e-20
3801.992  3.469359751579788e-20  3.462082071177166e-20
3801.996  3.426419509112585e-20  3.4193185426245437e-20
3802.0  3.384337375030478e-20  3.377408032478213e-20
3802.004  3.34309232659438e-20  3.336329729277709e-20
3802.008  3.3026639548607625e-20  3.29606340810653e-20
3802.012  3.26303244099655e-20  3.256589411861027e-20
3802.016  3.224178535101923e-20  3.2178886345776924e-20
3802.02  3.1860835370046335e-20  3.179942506148155e-20
3802.024  3.1487292785955574e-20  3.142732977943518e-20
3802.028  3.112098107933265e-20  3.106242509584843e-20
3802.032  3.076172873250385e-20  3.070454055039902e-20
3802.036  3.04093690880968e-20  3.035350372898163e-20
3802.04  3.006374020780103e-20  3.0009167458045925e-20
3802.044  2.972468473748658e-20  2.967136832631949e-20
3802.048  2.939204977631786e-20  2.9339954377247004e-20
3802.052  2.906568674973264e-20  2.9014777966290883e-20
3802.056  2.8745451286381424e-20  2.8695695639518087e-20
3802.06  2.843120309857374e-20  2.8382568014563744e-20
3802.064  2.812280586718902e-20  2.8075259665310864e-20
3802.068  2.782012713073442e-20  2.7773639010237065e-20
3802.072  2.7523038179252385e-20  2.747757820533489e-20
3802.076  2.723141395274821e-20  2.718695304144492e-20
3802.08  2.6945132944956846e-20  2.690164284691388e-20
3802.084  2.6664077111926258e-20  2.6621530395146427e-20
3802.088  2.638813178543115e-20  2.6346501817083237e-20
3802.092  2.611718559102748e-20  2.607644651847421e-20
3802.096  2.5851130369760012e-20  2.5811257100946917e-20
3802.1  2.5589861103463455e-20  2.555082928681913e-20
3802.104  2.5333275842368533e-20  2.529506184636561e-20
3802.108  2.5081275634266632e-20  2.5043856526777153e-20
3802.112  2.4833764454443086e-20  2.4797117982008037e-20
3802.116  2.459064913506138e-20  2.455475370219476e-20
3802.12  2.43518392937971e-20  2.4316673942399723e-20
3802.124  2.411724726069055e-20  2.4082791649676625e-20
3802.128  2.3886788002993567e-20  2.3853022388184348e-20
3802.132  2.3660379048021917e-20  2.362728426236789e-20
3802.136  2.343794040376907e-20  2.3405497837948182e-20
3802.14  2.321939447820031e-20  2.3187586061620756e-20
3802.144  2.3004665997433363e-20  2.297347417968091e-20
3802.148  2.279368192369458e-20  2.2763089656432153e-20
3802.152  2.258637137005783e-20  2.255636208940228e-20
3802.156  2.2382665536148563e-20  2.235322314552311e-20
3802.16  2.2182497606896197e-20  2.2153606460368755e-20
3802.164  2.198579898230201e-20  2.195744386841314e-20
3802.168  2.179251404849004e-20  2.1764680174548428e-20
3802.172  2.1602577840384638e-20  2.1575250817256222e-20
3802.176  2.1415930826459537e-20  2.1389096653809175e-20
3802.18  2.123251513820582e-20  2.120616019020245e-20
3802.184  2.1052274515988532e-20  2.1026385527455437e-20
3802.188  2.08751542591837e-20  2.0849718312182555e-20
3802.192  2.0701101139658887e-20  2.0676105650494582e-20
3802.196  2.0530063521034902e-20  2.050549622766654e-20
3802.2  2.0361991077231546e-20  2.0337840027077978e-20
3802.204  2.0196834917866682e-20  2.0173088455988015e-20
3802.208  2.0034547514358547e-20  2.0011194272001375e-20
3802.212  1.987508266847335e-20  1.9852111551967506e-20
3802.216  1.971839548298112e-20  1.969579566296981e-20
3802.22  1.9564442333850763e-20  1.9542203234837297e-20
3802.224  1.9413180843823767e-20  1.9391292134028365e-20
3802.228  1.9264569857225462e-20  1.924302143873227e-20
3802.232  1.9118569415559888e-20  1.9097351414738873e-20
3802.236  1.897514073406414e-20  1.8954243492260255e-20
